# left: rho: 1.0; u: -2.0; p: 0.4
# right: rho: 1.0; u: 2.0; p: 0.4
# gamma = 1.4
# time = 0.15
#          x                   rho                   u                    p                    e          
            0.62890625        0.06523827661         0.4258696022       0.008757163597         0.3355838034
            0.63671875        0.07203683857           0.46927238        0.01006089217         0.3491578881
            0.64453125        0.07939073351         0.5126751578        0.01152756903         0.3630010872
            0.65234375         0.0873333086         0.5560779355         0.0131738244         0.3771134008
            0.66015625           0.09589922         0.5994807133        0.01501761949         0.3914948288
            0.66796875         0.1051244581         0.6428834911        0.01707832483         0.4061453713
            0.67578125         0.1150463728         0.6862862689        0.01937680169         0.4210650282
            0.68359375         0.1257036986         0.7296890466        0.02193548646         0.4362537996
            0.69140625         0.1371365798         0.7730918244        0.02477847823         0.4517116854
            0.69921875         0.1493865957         0.8164946022        0.02793162957         0.4674386856
            0.70703125         0.1624967859           0.85989738         0.0314226405         0.4834348003
